iter	Passed	Remaining
0	0	55
1	0	48
2	1	44
3	1	41
4	2	40
5	2	39
6	2	37
7	3	36
8	3	35
9	3	34
10	4	33
11	4	32
12	4	32
13	5	31
14	5	30
15	5	30
16	5	29
17	6	28
18	6	28
19	6	27
20	7	27
21	7	26
22	7	26
23	8	26
24	8	25
25	8	25
26	9	25
27	9	24
28	9	24
29	10	23
30	10	23
31	10	22
32	11	22
33	11	21
34	11	21
35	11	21
36	12	20
37	12	20
38	12	19
39	13	19
40	13	19
41	13	19
42	14	18
43	14	18
44	15	18
45	15	18
46	15	17
47	16	17
48	16	17
49	16	16
50	17	16
51	17	16
52	17	15
53	18	15
54	18	15
55	18	14
56	19	14
57	19	14
58	19	13
59	20	13
60	20	13
61	20	12
62	21	12
63	21	12
64	21	11
65	22	11
66	22	11
67	22	10
68	22	10
69	23	9
70	23	9
71	23	9
72	24	8
73	24	8
74	24	8
75	25	7
76	25	7
77	25	7
78	26	6
79	26	6
80	26	6
81	26	5
82	27	5
83	27	5
84	27	4
85	28	4
86	28	4
87	28	3
88	29	3
89	29	3
90	30	2
91	30	2
92	30	2
93	31	1
94	31	1
95	31	1
96	32	0
97	32	0
98	32	0
99	33	0
