iter	Passed	Remaining
0	1	1056
1	2	1019
2	3	1012
3	3	980
4	4	962
5	5	945
6	6	933
7	7	983
8	9	1027
9	10	1049
10	11	1040
11	12	1034
12	13	1040
13	14	1043
14	15	1029
15	16	1009
16	17	990
17	17	974
18	18	959
19	19	951
20	20	958
21	21	957
22	22	953
23	23	944
24	23	934
25	24	925
26	25	925
27	26	925
28	27	924
29	28	921
30	29	913
31	29	906
32	30	900
33	31	904
34	32	903
35	33	903
36	34	901
37	35	898
38	36	896
39	37	897
40	38	897
41	39	895
42	40	892
43	40	890
44	42	892
45	42	888
46	43	885
47	44	885
48	45	884
49	46	880
50	47	876
51	47	872
52	48	869
53	49	866
54	50	864
55	51	863
56	51	860
57	52	857
58	53	853
59	54	849
60	54	845
61	55	843
62	56	840
63	57	837
64	58	834
65	58	831
66	59	828
67	60	825
68	60	822
69	61	819
70	62	817
71	63	815
72	64	813
73	64	810
74	65	808
75	66	806
76	67	804
77	67	802
78	68	800
79	69	798
80	70	795
81	70	792
82	71	786
83	71	783
84	72	780
85	73	777
86	73	774
87	74	771
88	75	769
89	75	766
90	76	764
91	77	763
92	78	763
93	79	763
94	80	762
95	80	761
96	81	760
97	82	758
98	83	757
99	83	755
100	84	753
101	85	753
102	86	752
103	87	752
104	88	751
105	89	750
106	89	749
107	90	747
108	91	745
109	91	743
110	92	741
111	93	739
112	94	739
113	94	737
114	95	735
115	96	733
116	96	730
117	97	728
118	98	726
119	98	724
120	99	723
121	100	721
122	101	720
123	101	718
124	102	716
125	103	715
126	103	712
127	104	710
128	105	709
129	105	709
130	106	708
131	107	708
132	108	707
133	109	706
134	110	706
135	110	704
136	111	704
137	112	702
138	113	701
139	113	700
140	114	698
141	115	695
142	115	693
143	116	691
144	117	690
145	117	689
146	118	688
147	119	687
148	120	686
149	120	684
150	121	682
151	122	681
152	122	679
153	123	678
154	124	677
155	125	676
156	125	675
157	126	673
158	127	672
159	127	670
160	128	668
161	128	666
162	129	665
163	130	664
164	131	663
165	131	662
166	132	661
167	133	659
168	133	658
169	134	657
170	135	656
171	136	654
172	136	653
173	137	653
